[*] Looking for NRF container process...
    pid=146207
    exe=/proc/146207/exe
    cgroup_id=25914

[*] Attaching uprobes...
  [uprobe] nrf_nf_register               github.com/free5gc/nrf/internal/sbi/processor.(*Processor).NFRegisterProcedure
  [uprobe] nrf_nf_deregister             github.com/free5gc/nrf/internal/sbi/processor.(*Processor).NFDeregisterProcedure
  [uprobe] nrf_get_nf_inst               github.com/free5gc/nrf/internal/sbi/processor.(*Processor).GetNFInstanceProcedure
  [uprobe] nrf_get_nf_inst_list          github.com/free5gc/nrf/internal/sbi/processor.(*Processor).GetNFInstancesProcedure
  [uprobe] nrf_update_nf_inst            github.com/free5gc/nrf/internal/sbi/processor.(*Processor).UpdateNFInstanceProcedure
  [uprobe] nrf_create_sub                github.com/free5gc/nrf/internal/sbi/processor.(*Processor).CreateSubscriptionProcedure
  [uprobe] nrf_remove_sub                github.com/free5gc/nrf/internal/sbi/processor.(*Processor).RemoveSubscriptionProcedure
  [uprobe] nrf_update_sub                github.com/free5gc/nrf/internal/sbi/processor.(*Processor).UpdateSubscriptionProcedure
  [uprobe] nrf_access_token              github.com/free5gc/nrf/internal/sbi/processor.(*Processor).AccessTokenProcedure
  [uprobe] nrf_nf_discovery              github.com/free5gc/nrf/internal/sbi/processor.(*Processor).NFDiscoveryProcedure
[*] Attaching tracepoints...
  [tp]     syscalls/sys_enter_connect
  [tp]     syscalls/sys_exit_connect
  [tp]     syscalls/sys_enter_accept4
  [tp]     syscalls/sys_exit_accept4
  [tp]     syscalls/sys_enter_write
  [tp]     syscalls/sys_exit_read

[*] Tracing NRF (pid=146207). Ctrl+C to stop.

TIMESTAMP               NF    EVENT      DETAIL
──────────────────────  ────  ─────────  ────────────────────────────────
[03:57:52.742841] NRF   READ     121    bytes  pid=146207
[03:57:52.742855] NRF   READ     9      bytes  pid=146207
[03:57:52.742937] NRF   WRITE    85     bytes  pid=146207
[03:57:52.743071] NRF   API      AccessToken               pid=146207 tid=146508
[03:57:52.743268] NRF   WRITE    196    bytes  pid=146207
[03:57:52.743733] NRF   READ     4      bytes  pid=146207
[03:57:52.743753] NRF   READ     1951   bytes  pid=146207
[03:57:52.744987] NRF   READ     1302   bytes  pid=146207
[03:57:52.745171] NRF   WRITE    291    bytes  pid=146207
[03:57:52.745353] NRF   WRITE    157    bytes  pid=146207
[03:57:52.745932] NRF   READ     4      bytes  pid=146207
[03:57:52.745947] NRF   READ     730    bytes  pid=146207
[03:57:52.749869] NRF   WRITE    112    bytes  pid=146207
[03:57:52.750076] NRF   WRITE    62     bytes  pid=146207
[03:57:52.750222] NRF   WRITE    8      bytes  pid=146207
[03:57:52.750240] NRF   READ     8      bytes  pid=146207
[03:57:52.750260] NRF   WRITE    621    bytes  pid=146207
[03:57:52.751358] NRF   WRITE    17     bytes  pid=146207
[03:57:52.751418] NRF   WRITE    8      bytes  pid=146207
[03:57:52.751433] NRF   READ     8      bytes  pid=146207
[03:57:52.760530] NRF   ACCEPT   ← 10.100.200.16:50928     pid=146207  fd=13
[03:57:52.760747] NRF   WRITE    8      bytes  pid=146207
[03:57:52.760778] NRF   READ     8      bytes  pid=146207
[03:57:52.761085] NRF   READ     330    bytes  pid=146207
[03:57:52.761259] NRF   WRITE    39     bytes  pid=146207
[03:57:52.761336] NRF   WRITE    85     bytes  pid=146207
[03:57:52.761401] NRF   API      AccessToken               pid=146207 tid=146511
[03:57:52.761978] NRF   WRITE    22     bytes  pid=146207
[03:57:52.762035] NRF   READ     9      bytes  pid=146207
[03:57:52.762124] NRF   WRITE    196    bytes  pid=146207
[03:57:52.762736] NRF   READ     4      bytes  pid=146207
[03:57:52.762774] NRF   READ     2418   bytes  pid=146207
[03:57:52.763794] NRF   WRITE    8      bytes  pid=146207
[03:57:52.763826] NRF   READ     8      bytes  pid=146207
[03:57:52.764828] NRF   READ     1302   bytes  pid=146207
[03:57:52.765027] NRF   WRITE    291    bytes  pid=146207
[03:57:52.769599] NRF   WRITE    112    bytes  pid=146207
[03:57:52.770157] NRF   WRITE    63     bytes  pid=146207
[03:57:52.770402] NRF   WRITE    8      bytes  pid=146207
[03:57:52.770432] NRF   READ     8      bytes  pid=146207
[03:57:52.770477] NRF   WRITE    626    bytes  pid=146207
[03:57:52.771053] NRF   READ     9      bytes  pid=146207
[03:57:52.771081] NRF   READ     531    bytes  pid=146207
[03:57:52.771231] NRF   READ     1237   bytes  pid=146207
[03:57:52.771523] NRF   WRITE    84     bytes  pid=146207
[03:57:52.772014] NRF   API      NFDiscovery               pid=146207 tid=146511
[03:57:52.772200] NRF   WRITE    511    bytes  pid=146207
[03:57:52.772711] NRF   READ     4      bytes  pid=146207
[03:57:52.772750] NRF   READ     1951   bytes  pid=146207
[03:57:52.779139] NRF   WRITE    192    bytes  pid=146207
[03:57:52.779746] NRF   WRITE    17     bytes  pid=146207
[03:57:52.779998] NRF   WRITE    8      bytes  pid=146207
[03:57:52.780069] NRF   WRITE    1688   bytes  pid=146207
[03:57:52.780130] NRF   READ     8      bytes  pid=146207
[03:57:52.780683] NRF   READ     9      bytes  pid=146207
[03:57:52.780746] NRF   READ     12     bytes  pid=146207
[03:57:52.780839] NRF   READ     9      bytes  pid=146207
[03:57:52.780894] NRF   READ     122    bytes  pid=146207
[03:57:52.780960] NRF   WRITE    85     bytes  pid=146207
[03:57:52.781426] NRF   API      AccessToken               pid=146207 tid=146511
[03:57:52.781626] NRF   WRITE    196    bytes  pid=146207
[03:57:52.782278] NRF   READ     4      bytes  pid=146207
[03:57:52.782342] NRF   READ     2418   bytes  pid=146207
[03:57:52.786339] NRF   READ     1302   bytes  pid=146207
[03:57:52.786511] NRF   WRITE    291    bytes  pid=146207
[03:57:52.786910] NRF   WRITE    157    bytes  pid=146207
[03:57:52.787472] NRF   READ     4      bytes  pid=146207
[03:57:52.787515] NRF   READ     1951   bytes  pid=146207
[03:57:52.811677] NRF   WRITE    112    bytes  pid=146207
[03:57:52.811755] NRF   WRITE    17     bytes  pid=146207
[03:57:52.811880] NRF   WRITE    8      bytes  pid=146207
[03:57:52.811903] NRF   WRITE    623    bytes  pid=146207
[03:57:52.812547] NRF   READ     8      bytes  pid=146207
[03:57:52.813938] NRF   WRITE    17     bytes  pid=146207
[03:57:52.814081] NRF   WRITE    8      bytes  pid=146207
[03:57:52.814100] NRF   READ     8      bytes  pid=146207
[03:57:52.815745] NRF   ACCEPT   ← 10.100.200.9:37734      pid=146207  fd=14
[03:57:52.816079] NRF   READ     198    bytes  pid=146207
[03:57:52.816278] NRF   WRITE    8      bytes  pid=146207
[03:57:52.816294] NRF   READ     8      bytes  pid=146207
[03:57:52.816326] NRF   WRITE    39     bytes  pid=146207
[03:57:52.816420] NRF   WRITE    22     bytes  pid=146207
